Month,Price
10-2002,48.34
11-2002,48.31
12-2002,47.95
01-2003,47.8
02-2003,47.61
03-2003,47.48
04-2003,47.32
05-2003,47.02
06-2003,46.41
07-2003,46.165
08-2003,45.86
09-2003,45.65
10-2003,45.32
11-2003,45.77
12-2003,45.625
01-2004,45.27
02-2004,45.205
03-2004,43.35
04-2004,44.47
05-2004,45.48
06-2004,45.975
07-2004,46.375
08-2004,46.315
09-2004,45.925
10-2004,45.335
11-2004,44.5
12-2004,43.25
01-2005,43.645
02-2005,43.635
03-2005,43.675
04-2005,43.43
05-2005,43.7
06-2005,43.485
07-2005,43.44
08-2005,44.015
09-2005,43.955
10-2005,45.07
11-2005,45.89
12-2005,44.995
01-2006,43.925
02-2006,44.275
03-2006,44.5
04-2006,44.9
05-2006,46.305
06-2006,45.88
07-2006,46.5
08-2006,46.48
09-2006,45.91
10-2006,44.92
11-2006,44.6
12-2006,44.115
01-2007,44.08
02-2007,44.09
03-2007,43.12
04-2007,41.045
05-2007,40.375
06-2007,40.525
07-2007,40.19
08-2007,40.64
09-2007,39.66
10-2007,39.195
11-2007,39.52
12-2007,39.405
01-2008,39.28
02-2008,39.92
03-2008,40.03
04-2008,40.46
05-2008,42.16
06-2008,42.93
07-2008,42.483
08-2008,43.87
09-2008,46.815
10-2008,49.325
11-2008,49.575
12-2008,48.62
01-2009,48.85
02-2009,51.005
03-2009,50.57
04-2009,49.725
05-2009,47.12
06-2009,47.75
07-2009,47.825
08-2009,48.69
09-2009,47.735
10-2009,46.925
11-2009,46.535
12-2009,46.41
01-2010,46.125
02-2010,46.105
03-2010,44.825
04-2010,44.275
05-2010,46.365
06-2010,46.445
07-2010,46.405
08-2010,47.065
09-2010,44.57
10-2010,44.325
11-2010,45.8
12-2010,44.713
01-2011,45.825
02-2011,45.265
03-2011,44.535
04-2011,44.255
05-2011,45.06
06-2011,44.7
07-2011,44.21
08-2011,45.8
09-2011,49.02
10-2011,48.695
11-2011,52.13
12-2011,53.015
01-2012,49.515
02-2012,49.11
03-2012,50.875
04-2012,52.665
05-2012,56.04
06-2012,55.51
07-2012,55.56
08-2012,55.525
09-2012,52.855
10-2012,53.805
11-2012,54.265
12-2012,54.995
01-2013,53.275
02-2013,54.37
03-2013,54.285
04-2013,53.685
05-2013,56.58
06-2013,59.533
07-2013,60.855
08-2013,65.705
09-2013,62.59
10-2013,61.624
11-2013,62.399
12-2013,61.81
01-2014,62.685
02-2014,61.795
03-2014,60.015
04-2014,60.345
05-2014,59.195
06-2014,60.06
07-2014,60.555
08-2014,60.52
09-2014,61.94
10-2014,61.405
11-2014,62.21
12-2014,63.035
01-2015,62.02
02-2015,61.659
03-2015,62.291
04-2015,63.529
05-2015,63.743
06-2015,63.604
07-2015,63.988
08-2015,66.412
09-2015,65.517
10-2015,65.423
11-2015,66.462
12-2015,66.208
01-2016,67.878
02-2016,68.208
03-2016,66.255
04-2016,66.425
05-2016,67.209
06-2016,67.504
07-2016,66.655
08-2016,66.973
09-2016,66.556
10-2016,66.686
11-2016,68.598
12-2016,67.955
01-2017,67.515
02-2017,66.725
03-2017,64.86
04-2017,64.29
05-2017,64.51
06-2017,64.62
07-2017,64.2
08-2017,63.935
09-2017,65.31
10-2017,64.75
11-2017,64.49
12-2017,63.84
01-2018,63.55
02-2018,65.21
03-2018,65.115
04-2018,66.46
05-2018,67.43
06-2018,68.46
07-2018,68.46
08-2018,71.005
09-2018,72.51
10-2018,73.96
11-2018,69.65
12-2018,69.57
01-2019,70.96
02-2019,70.84
03-2019,69.185
04-2019,69.647
05-2019,69.58
06-2019,68.95
07-2019,68.875
08-2019,71.453
09-2019,70.645
10-2019,70.98
11-2019,71.749
12-2019,71.355
01-2020,71.555
02-2020,72.539
03-2020,75.343
04-2020,75.08
05-2020,75.605
06-2020,75.54
07-2020,74.916
08-2020,73.254
09-2020,73.56
10-2020,74.554
11-2020,74.402
